setting,scale,ratio,checkpoint_kind,snr,metric1_changed_pred_B_acc,metric2_changed_pred_A_acc,metric3_unchanged_pred_A_acc
scale_10pct_ratio_30pct,10,30,last,8,14.5,44.3,49.5
scale_10pct_ratio_30pct,10,30,last,6,14.1,41.1,44.4
scale_10pct_ratio_30pct,10,30,last,4,13.7,36.3,38.2
scale_10pct_ratio_30pct,10,30,last,2,12.4,29.3,30.6
scale_10pct_ratio_30pct,10,30,last,0,10.3,20.1,20.7
scale_10pct_ratio_40pct,10,40,best,50,9.3,81.0,94.5
scale_10pct_ratio_40pct,10,40,best,45,9.2,81.1,94.4
scale_10pct_ratio_40pct,10,40,best,40,9.0,81.2,94.2
scale_10pct_ratio_40pct,10,40,best,30,8.1,81.8,93.3
scale_10pct_ratio_40pct,10,40,best,25,7.4,82.1,92.1
scale_10pct_ratio_40pct,10,40,best,20,6.6,82.0,89.6
scale_10pct_ratio_40pct,10,40,best,15,6.2,80.0,85.3
scale_10pct_ratio_40pct,10,40,best,10,6.6,75.6,78.2
scale_10pct_ratio_40pct,10,40,best,8,7.3,72.9,74.7
scale_10pct_ratio_40pct,10,40,best,6,7.9,69.4,70.6
scale_10pct_ratio_40pct,10,40,best,4,8.8,65.0,65.9
scale_10pct_ratio_40pct,10,40,best,2,10.0,59.8,60.5
scale_10pct_ratio_40pct,10,40,best,0,11.4,54.1,54.6
scale_10pct_ratio_40pct,10,40,last,50,99.6,0.1,99.9
scale_10pct_ratio_40pct,10,40,last,45,98.2,0.4,99.7
scale_10pct_ratio_40pct,10,40,last,40,93.0,1.5,98.8
scale_10pct_ratio_40pct,10,40,last,30,64.4,10.3,91.0
scale_10pct_ratio_40pct,10,40,last,25,46.3,19.2,82.3
scale_10pct_ratio_40pct,10,40,last,20,31.1,29.4,71.2
scale_10pct_ratio_40pct,10,40,last,15,21.7,37.0,59.3
scale_10pct_ratio_40pct,10,40,last,10,17.6,38.6,47.9
scale_10pct_ratio_40pct,10,40,last,8,17.0,37.7,43.7
scale_10pct_ratio_40pct,10,40,last,6,16.7,36.0,39.7
scale_10pct_ratio_40pct,10,40,last,4,16.8,33.2,35.3
scale_10pct_ratio_40pct,10,40,last,2,17.0,29.9,30.9
scale_10pct_ratio_40pct,10,40,last,0,17.2,25.6,26.2
scale_10pct_ratio_50pct,10,50,best,50,14.4,72.5,95.2
scale_10pct_ratio_50pct,10,50,best,45,14.2,72.7,95.1
scale_10pct_ratio_50pct,10,50,best,40,13.9,73.0,94.8
scale_10pct_ratio_50pct,10,50,best,30,12.1,74.3,92.8
scale_10pct_ratio_50pct,10,50,best,25,10.8,74.8,90.1
scale_10pct_ratio_50pct,10,50,best,20,9.5,74.7,86.0
scale_10pct_ratio_50pct,10,50,best,15,8.6,72.5,79.9
scale_10pct_ratio_50pct,10,50,best,10,8.6,67.6,71.5
scale_10pct_ratio_50pct,10,50,best,8,9.1,64.4,67.3
scale_10pct_ratio_50pct,10,50,best,6,9.8,60.2,62.3
scale_10pct_ratio_50pct,10,50,best,4,10.5,55.4,56.9
scale_10pct_ratio_50pct,10,50,best,2,11.6,49.8,50.7
scale_10pct_ratio_50pct,10,50,best,0,12.3,44.1,44.9
scale_10pct_ratio_50pct,10,50,last,50,99.5,0.1,99.9
scale_10pct_ratio_50pct,10,50,last,45,97.5,0.3,99.4
scale_10pct_ratio_50pct,10,50,last,40,90.7,1.1,97.7
scale_10pct_ratio_50pct,10,50,last,30,59.7,7.5,85.3
scale_10pct_ratio_50pct,10,50,last,25,42.9,14.3,73.8
scale_10pct_ratio_50pct,10,50,last,20,30.3,22.2,61.1
scale_10pct_ratio_50pct,10,50,last,15,22.7,28.3,49.5
scale_10pct_ratio_50pct,10,50,last,10,19.1,30.8,40.2
scale_10pct_ratio_50pct,10,50,last,8,18.5,30.4,36.7
scale_10pct_ratio_50pct,10,50,last,6,18.1,29.3,33.4
scale_10pct_ratio_50pct,10,50,last,4,17.9,27.7,30.2
scale_10pct_ratio_50pct,10,50,last,2,17.7,25.7,27.4
scale_10pct_ratio_50pct,10,50,last,0,17.5,23.5,24.3
scale_10pct_ratio_60pct,10,60,best,50,17.5,64.3,94.1
scale_10pct_ratio_60pct,10,60,best,45,17.3,64.5,93.9
scale_10pct_ratio_60pct,10,60,best,40,16.8,65.0,93.5
scale_10pct_ratio_60pct,10,60,best,30,14.7,67.1,91.0
scale_10pct_ratio_60pct,10,60,best,25,13.0,68.2,87.8
scale_10pct_ratio_60pct,10,60,best,20,11.2,68.4,82.6
scale_10pct_ratio_60pct,10,60,best,15,10.0,66.2,74.6
scale_10pct_ratio_60pct,10,60,best,10,10.8,59.0,63.0
scale_10pct_ratio_60pct,10,60,best,8,11.3,54.6,57.1
scale_10pct_ratio_60pct,10,60,best,6,12.1,49.4,51.0
scale_10pct_ratio_60pct,10,60,best,4,13.2,43.9,44.6
scale_10pct_ratio_60pct,10,60,best,2,14.0,38.0,38.5
scale_10pct_ratio_60pct,10,60,best,0,15.1,31.7,32.0
scale_10pct_ratio_60pct,10,60,last,50,99.6,0.1,99.8
scale_10pct_ratio_60pct,10,60,last,45,97.9,0.2,99.3
scale_10pct_ratio_60pct,10,60,last,40,91.8,0.8,96.9
scale_10pct_ratio_60pct,10,60,last,30,61.3,5.8,78.8
scale_10pct_ratio_60pct,10,60,last,25,44.8,10.8,63.8
scale_10pct_ratio_60pct,10,60,last,20,32.1,16.5,48.6
scale_10pct_ratio_60pct,10,60,last,15,24.7,21.2,36.8
scale_10pct_ratio_60pct,10,60,last,10,21.1,22.8,28.7
scale_10pct_ratio_60pct,10,60,last,8,20.4,21.9,26.0
scale_10pct_ratio_60pct,10,60,last,6,20.0,20.8,23.2
scale_10pct_ratio_60pct,10,60,last,4,19.7,19.1,20.4
scale_10pct_ratio_60pct,10,60,last,2,19.4,17.1,17.9
scale_10pct_ratio_60pct,10,60,last,0,18.9,15.1,15.2
scale_10pct_ratio_70pct,10,70,best,50,24.8,46.2,85.2
scale_10pct_ratio_70pct,10,70,best,45,24.5,46.6,85.1
scale_10pct_ratio_70pct,10,70,best,40,23.7,47.5,84.5
scale_10pct_ratio_70pct,10,70,best,30,20.6,50.9,81.0
scale_10pct_ratio_70pct,10,70,best,25,17.9,53.4,76.9
scale_10pct_ratio_70pct,10,70,best,20,15.2,55.1,71.3
scale_10pct_ratio_70pct,10,70,best,15,13.6,53.5,62.6
scale_10pct_ratio_70pct,10,70,best,10,14.4,45.1,49.1
scale_10pct_ratio_70pct,10,70,best,8,15.4,40.2,42.8
scale_10pct_ratio_70pct,10,70,best,6,16.5,34.7,36.2
scale_10pct_ratio_70pct,10,70,best,4,17.7,29.4,30.6
scale_10pct_ratio_70pct,10,70,best,2,18.7,25.3,25.7
scale_10pct_ratio_70pct,10,70,best,0,19.4,22.1,22.5
scale_10pct_ratio_70pct,10,70,last,50,98.3,0.2,99.5
scale_10pct_ratio_70pct,10,70,last,45,95.3,0.5,98.2
scale_10pct_ratio_70pct,10,70,last,40,86.3,1.4,93.3
scale_10pct_ratio_70pct,10,70,last,30,53.1,6.0,67.1
scale_10pct_ratio_70pct,10,70,last,25,38.7,10.2,51.4
scale_10pct_ratio_70pct,10,70,last,20,28.7,15.1,38.6
scale_10pct_ratio_70pct,10,70,last,15,23.4,19.1,30.4
scale_10pct_ratio_70pct,10,70,last,10,21.0,19.7,23.4
scale_10pct_ratio_70pct,10,70,last,8,20.4,18.2,20.2
scale_10pct_ratio_70pct,10,70,last,6,19.6,15.7,16.8
scale_10pct_ratio_70pct,10,70,last,4,17.8,12.6,13.1
scale_10pct_ratio_70pct,10,70,last,2,14.0,8.9,8.7
scale_10pct_ratio_70pct,10,70,last,0,8.9,5.5,5.5
scale_10pct_ratio_80pct,10,80,best,50,16.1,36.0,36.4
scale_10pct_ratio_80pct,10,80,best,45,16.0,36.0,36.4
scale_10pct_ratio_80pct,10,80,best,40,16.0,36.0,36.4
scale_10pct_ratio_80pct,10,80,best,30,16.0,36.0,36.4
scale_10pct_ratio_80pct,10,80,best,25,16.0,36.0,36.4
scale_10pct_ratio_80pct,10,80,best,20,16.0,36.0,36.4
scale_10pct_ratio_80pct,10,80,best,15,15.9,36.0,36.3
scale_10pct_ratio_80pct,10,80,best,10,15.9,35.4,35.9
scale_10pct_ratio_80pct,10,80,best,8,16.2,34.0,34.3
scale_10pct_ratio_80pct,10,80,best,6,17.1,30.4,30.8
scale_10pct_ratio_80pct,10,80,best,4,18.8,24.0,24.3
scale_10pct_ratio_80pct,10,80,best,2,21.3,14.1,14.2
scale_10pct_ratio_80pct,10,80,best,0,23.5,6.1,5.9
scale_10pct_ratio_80pct,10,80,last,50,99.3,0.2,99.3
scale_10pct_ratio_80pct,10,80,last,45,96.4,1.0,96.5
scale_10pct_ratio_80pct,10,80,last,40,88.7,3.3,89.4
scale_10pct_ratio_80pct,10,80,last,30,58.4,12.5,62.8
scale_10pct_ratio_80pct,10,80,last,25,43.6,17.6,49.8
scale_10pct_ratio_80pct,10,80,last,20,32.5,21.2,39.5
scale_10pct_ratio_80pct,10,80,last,15,25.0,23.5,31.7
scale_10pct_ratio_80pct,10,80,last,10,21.0,24.2,27.5
scale_10pct_ratio_80pct,10,80,last,8,19.9,23.9,25.9
scale_10pct_ratio_80pct,10,80,last,6,18.8,23.5,24.7
scale_10pct_ratio_80pct,10,80,last,4,18.2,22.7,23.8
scale_10pct_ratio_80pct,10,80,last,2,17.8,20.9,21.2
scale_10pct_ratio_80pct,10,80,last,0,18.0,17.8,18.4
scale_10pct_ratio_90pct,10,90,best,50,21.8,12.5,12.5
scale_10pct_ratio_90pct,10,90,best,45,21.8,12.6,12.6
scale_10pct_ratio_90pct,10,90,best,40,21.8,12.8,12.9
scale_10pct_ratio_90pct,10,90,best,30,21.7,12.8,12.9
scale_10pct_ratio_90pct,10,90,best,25,21.7,12.7,12.7
scale_10pct_ratio_90pct,10,90,best,20,21.7,12.5,12.4
scale_10pct_ratio_90pct,10,90,best,15,21.6,12.3,12.3
scale_10pct_ratio_90pct,10,90,best,10,21.3,12.2,12.2
scale_10pct_ratio_90pct,10,90,best,8,21.1,12.6,12.7
scale_10pct_ratio_90pct,10,90,best,6,20.7,13.4,13.5
scale_10pct_ratio_90pct,10,90,best,4,20.3,15.3,15.1
scale_10pct_ratio_90pct,10,90,best,2,20.0,17.9,17.7
scale_10pct_ratio_90pct,10,90,best,0,19.7,20.3,19.7
scale_10pct_ratio_90pct,10,90,last,50,99.2,0.3,97.2
scale_10pct_ratio_90pct,10,90,last,45,97.3,0.9,94.6
scale_10pct_ratio_90pct,10,90,last,40,90.3,2.6,85.0
scale_10pct_ratio_90pct,10,90,last,30,59.0,7.6,44.7
scale_10pct_ratio_90pct,10,90,last,25,45.2,9.1,29.8
scale_10pct_ratio_90pct,10,90,last,20,35.0,10.0,20.4
scale_10pct_ratio_90pct,10,90,last,15,28.3,10.3,13.8
scale_10pct_ratio_90pct,10,90,last,10,24.5,9.8,11.2
scale_10pct_ratio_90pct,10,90,last,8,23.7,9.3,10.4
scale_10pct_ratio_90pct,10,90,last,6,23.0,8.9,9.6
scale_10pct_ratio_90pct,10,90,last,4,22.1,8.6,9.0
scale_10pct_ratio_90pct,10,90,last,2,21.1,8.5,8.8
scale_10pct_ratio_90pct,10,90,last,0,19.7,8.1,8.6
scale_50pct_ratio_10pct,50,10,best,50,6.3,88.6,97.0
scale_50pct_ratio_10pct,50,10,best,45,6.2,88.8,97.0
scale_50pct_ratio_10pct,50,10,best,40,6.0,89.0,96.9
scale_50pct_ratio_10pct,50,10,best,30,5.5,89.1,96.4
scale_50pct_ratio_10pct,50,10,best,25,5.1,89.1,95.5
scale_50pct_ratio_10pct,50,10,best,20,4.5,88.2,93.4
scale_50pct_ratio_10pct,50,10,best,15,4.3,85.6,88.5
scale_50pct_ratio_10pct,50,10,best,10,5.5,76.9,78.3
scale_50pct_ratio_10pct,50,10,best,8,6.6,70.7,71.6
scale_50pct_ratio_10pct,50,10,best,6,7.8,63.5,63.3
scale_50pct_ratio_10pct,50,10,best,4,9.0,53.9,54.0
scale_50pct_ratio_10pct,50,10,best,2,10.4,44.7,44.4
scale_50pct_ratio_10pct,50,10,best,0,11.2,36.1,36.0
scale_50pct_ratio_10pct,50,10,last,50,99.9,0.0,100.0
scale_50pct_ratio_10pct,50,10,last,45,99.6,0.3,100.0
scale_50pct_ratio_10pct,50,10,last,40,97.8,1.7,99.9
scale_50pct_ratio_10pct,50,10,last,30,77.1,19.2,99.0
scale_50pct_ratio_10pct,50,10,last,25,52.6,40.5,97.4
scale_50pct_ratio_10pct,50,10,last,20,28.3,62.1,94.1
scale_50pct_ratio_10pct,50,10,last,15,13.1,73.9,87.5
scale_50pct_ratio_10pct,50,10,last,10,9.0,70.9,75.2
scale_50pct_ratio_10pct,50,10,last,8,9.3,65.4,68.1
scale_50pct_ratio_10pct,50,10,last,6,10.3,59.0,59.9
scale_50pct_ratio_10pct,50,10,last,4,11.7,50.8,50.9
scale_50pct_ratio_10pct,50,10,last,2,13.2,41.8,41.9
scale_50pct_ratio_10pct,50,10,last,0,14.3,33.0,32.7
scale_50pct_ratio_20pct,50,20,best,50,11.0,82.1,98.1
scale_50pct_ratio_20pct,50,20,best,45,10.9,82.2,98.1
scale_50pct_ratio_20pct,50,20,best,40,10.7,82.5,98.0
scale_50pct_ratio_20pct,50,20,best,30,9.3,83.9,97.3
scale_50pct_ratio_20pct,50,20,best,25,8.2,84.6,96.2
scale_50pct_ratio_20pct,50,20,best,20,6.6,85.0,93.5
scale_50pct_ratio_20pct,50,20,best,15,5.8,82.5,87.9
scale_50pct_ratio_20pct,50,20,best,10,6.7,74.8,77.4
scale_50pct_ratio_20pct,50,20,best,8,7.6,69.8,71.4
scale_50pct_ratio_20pct,50,20,best,6,8.6,63.3,64.5
scale_50pct_ratio_20pct,50,20,best,4,10.1,55.6,56.6
scale_50pct_ratio_20pct,50,20,best,2,11.5,47.8,47.9
scale_50pct_ratio_20pct,50,20,best,0,13.2,39.0,39.3
scale_50pct_ratio_20pct,50,20,last,50,99.9,0.1,100.0
scale_50pct_ratio_20pct,50,20,last,45,99.3,0.3,100.0
scale_50pct_ratio_20pct,50,20,last,40,96.6,1.7,99.8
scale_50pct_ratio_20pct,50,20,last,30,72.1,16.7,98.0
scale_50pct_ratio_20pct,50,20,last,25,47.6,35.6,95.5
scale_50pct_ratio_20pct,50,20,last,20,26.1,55.4,90.9
scale_50pct_ratio_20pct,50,20,last,15,13.6,67.5,83.6
scale_50pct_ratio_20pct,50,20,last,10,9.4,66.8,72.3
scale_50pct_ratio_20pct,50,20,last,8,9.7,63.2,66.3
scale_50pct_ratio_20pct,50,20,last,6,10.4,57.4,59.5
scale_50pct_ratio_20pct,50,20,last,4,11.2,50.9,51.7
scale_50pct_ratio_20pct,50,20,last,2,12.0,43.5,43.8
scale_50pct_ratio_20pct,50,20,last,0,12.1,35.3,35.8
scale_50pct_ratio_30pct,50,30,best,50,13.5,76.9,98.3
scale_50pct_ratio_30pct,50,30,best,45,13.3,77.1,98.2
scale_50pct_ratio_30pct,50,30,best,40,13.1,77.5,98.1
scale_50pct_ratio_30pct,50,30,best,30,11.4,79.5,97.1
scale_50pct_ratio_30pct,50,30,best,25,9.6,81.1,95.5
scale_50pct_ratio_30pct,50,30,best,20,7.5,82.0,92.2
scale_50pct_ratio_30pct,50,30,best,15,6.5,79.3,85.1
scale_50pct_ratio_30pct,50,30,best,10,7.7,69.6,71.8
scale_50pct_ratio_30pct,50,30,best,8,8.7,62.7,64.3
scale_50pct_ratio_30pct,50,30,best,6,10.2,54.9,55.7
scale_50pct_ratio_30pct,50,30,best,4,12.1,45.9,46.6
scale_50pct_ratio_30pct,50,30,best,2,14.1,38.0,38.2
scale_50pct_ratio_30pct,50,30,best,0,16.3,32.0,32.1
scale_50pct_ratio_30pct,50,30,last,50,99.7,0.1,100.0
scale_50pct_ratio_30pct,50,30,last,45,98.7,0.3,99.9
scale_50pct_ratio_30pct,50,30,last,40,94.3,1.6,99.4
scale_50pct_ratio_30pct,50,30,last,30,63.7,15.3,95.4
scale_50pct_ratio_30pct,50,30,last,25,42.6,29.5,90.6
scale_50pct_ratio_30pct,50,30,last,20,25.8,45.0,84.0
scale_50pct_ratio_30pct,50,30,last,15,15.7,55.9,75.2
scale_50pct_ratio_30pct,50,30,last,10,12.2,57.8,64.6
scale_50pct_ratio_30pct,50,30,last,8,12.1,55.1,59.6
scale_50pct_ratio_30pct,50,30,last,6,12.5,51.3,54.0
scale_50pct_ratio_30pct,50,30,last,4,13.4,45.7,47.2
scale_50pct_ratio_30pct,50,30,last,2,14.4,38.9,39.9
scale_50pct_ratio_30pct,50,30,last,0,15.8,32.4,33.0
scale_50pct_ratio_40pct,50,40,best,50,8.2,84.3,96.5
scale_50pct_ratio_40pct,50,40,best,45,8.1,84.4,96.5
scale_50pct_ratio_40pct,50,40,best,40,7.9,84.7,96.3
scale_50pct_ratio_40pct,50,40,best,30,7.1,85.2,95.4
scale_50pct_ratio_40pct,50,40,best,25,6.4,85.4,94.1
scale_50pct_ratio_40pct,50,40,best,20,5.6,84.7,91.4
scale_50pct_ratio_40pct,50,40,best,15,5.4,81.7,85.9
scale_50pct_ratio_40pct,50,40,best,10,6.4,74.0,76.1
scale_50pct_ratio_40pct,50,40,best,8,7.4,69.0,70.6
scale_50pct_ratio_40pct,50,40,best,6,8.4,63.1,63.8
scale_50pct_ratio_40pct,50,40,best,4,9.5,56.2,56.5
scale_50pct_ratio_40pct,50,40,best,2,10.6,48.6,48.4
scale_50pct_ratio_40pct,50,40,best,0,12.0,40.5,40.4
scale_50pct_ratio_40pct,50,40,last,50,99.6,0.1,100.0
scale_50pct_ratio_40pct,50,40,last,45,98.2,0.4,99.8
scale_50pct_ratio_40pct,50,40,last,40,92.6,1.7,99.2
scale_50pct_ratio_40pct,50,40,last,30,59.3,14.2,92.8
scale_50pct_ratio_40pct,50,40,last,25,38.8,27.0,85.4
scale_50pct_ratio_40pct,50,40,last,20,24.7,39.3,75.5
scale_50pct_ratio_40pct,50,40,last,15,17.0,46.4,64.2
scale_50pct_ratio_40pct,50,40,last,10,14.7,45.4,52.1
scale_50pct_ratio_40pct,50,40,last,8,14.6,42.9,46.9
scale_50pct_ratio_40pct,50,40,last,6,15.2,39.3,41.4
scale_50pct_ratio_40pct,50,40,last,4,15.8,35.0,36.4
scale_50pct_ratio_40pct,50,40,last,2,16.7,30.7,31.0
scale_50pct_ratio_40pct,50,40,last,0,16.9,26.6,26.9
scale_50pct_ratio_50pct,50,50,best,50,14.3,72.2,97.1
scale_50pct_ratio_50pct,50,50,best,45,14.1,72.6,97.0
scale_50pct_ratio_50pct,50,50,best,40,13.6,73.2,96.7
scale_50pct_ratio_50pct,50,50,best,30,11.3,75.6,94.4
scale_50pct_ratio_50pct,50,50,best,25,9.6,77.0,91.6
scale_50pct_ratio_50pct,50,50,best,20,8.3,77.0,87.4
scale_50pct_ratio_50pct,50,50,best,15,7.6,74.3,80.6
scale_50pct_ratio_50pct,50,50,best,10,8.6,66.3,69.1
scale_50pct_ratio_50pct,50,50,best,8,9.6,61.2,62.7
scale_50pct_ratio_50pct,50,50,best,6,11.0,54.6,55.6
scale_50pct_ratio_50pct,50,50,best,4,12.5,47.2,47.7
scale_50pct_ratio_50pct,50,50,best,2,14.1,39.6,40.0
scale_50pct_ratio_50pct,50,50,best,0,15.7,33.5,33.7
scale_50pct_ratio_50pct,50,50,last,50,99.1,0.1,99.8
scale_50pct_ratio_50pct,50,50,last,45,95.8,0.4,99.1
scale_50pct_ratio_50pct,50,50,last,40,86.5,1.5,96.7
scale_50pct_ratio_50pct,50,50,last,30,51.3,10.4,81.9
scale_50pct_ratio_50pct,50,50,last,25,35.0,19.1,70.4
scale_50pct_ratio_50pct,50,50,last,20,24.3,28.8,59.1
scale_50pct_ratio_50pct,50,50,last,15,18.1,35.7,49.1
scale_50pct_ratio_50pct,50,50,last,10,16.3,34.6,38.5
scale_50pct_ratio_50pct,50,50,last,8,16.3,31.6,34.0
scale_50pct_ratio_50pct,50,50,last,6,16.4,28.5,29.7
scale_50pct_ratio_50pct,50,50,last,4,15.4,26.0,26.8
scale_50pct_ratio_50pct,50,50,last,2,13.8,25.4,25.6
scale_50pct_ratio_50pct,50,50,last,0,12.7,25.8,26.1
scale_50pct_ratio_60pct,50,60,best,50,3.8,86.4,88.5
scale_50pct_ratio_60pct,50,60,best,45,3.8,86.4,88.4
scale_50pct_ratio_60pct,50,60,best,40,3.8,86.4,88.3
scale_50pct_ratio_60pct,50,60,best,30,3.8,86.1,87.7
scale_50pct_ratio_60pct,50,60,best,25,3.9,85.6,87.1
scale_50pct_ratio_60pct,50,60,best,20,4.0,84.6,85.9
scale_50pct_ratio_60pct,50,60,best,15,4.4,82.3,83.2
scale_50pct_ratio_60pct,50,60,best,10,5.4,77.8,78.3
scale_50pct_ratio_60pct,50,60,best,8,6.0,74.5,75.0
scale_50pct_ratio_60pct,50,60,best,6,6.9,70.3,70.8
scale_50pct_ratio_60pct,50,60,best,4,8.1,64.6,65.2
scale_50pct_ratio_60pct,50,60,best,2,9.5,57.0,57.3
scale_50pct_ratio_60pct,50,60,best,0,11.3,46.9,47.4
scale_50pct_ratio_60pct,50,60,last,50,82.6,3.6,94.4
scale_50pct_ratio_60pct,50,60,last,45,67.8,7.7,87.3
scale_50pct_ratio_60pct,50,60,last,40,53.0,12.6,77.7
scale_50pct_ratio_60pct,50,60,last,30,30.6,22.8,56.0
scale_50pct_ratio_60pct,50,60,last,25,24.0,26.9,46.6
scale_50pct_ratio_60pct,50,60,last,20,20.5,29.3,39.9
scale_50pct_ratio_60pct,50,60,last,15,18.5,30.5,35.5
scale_50pct_ratio_60pct,50,60,last,10,17.6,30.5,32.2
scale_50pct_ratio_60pct,50,60,last,8,17.3,30.2,31.6
scale_50pct_ratio_60pct,50,60,last,6,17.3,29.3,30.3
scale_50pct_ratio_60pct,50,60,last,4,17.3,27.5,27.9
scale_50pct_ratio_60pct,50,60,last,2,17.5,25.0,25.6
scale_50pct_ratio_60pct,50,60,last,0,17.0,21.8,22.0
scale_50pct_ratio_70pct,50,70,best,50,9.0,75.6,87.0
scale_50pct_ratio_70pct,50,70,best,45,9.0,75.6,86.7
scale_50pct_ratio_70pct,50,70,best,40,8.8,75.5,86.2
scale_50pct_ratio_70pct,50,70,best,30,8.3,75.0,83.4
scale_50pct_ratio_70pct,50,70,best,25,8.1,74.1,80.9
scale_50pct_ratio_70pct,50,70,best,20,8.0,72.2,77.4
scale_50pct_ratio_70pct,50,70,best,15,8.5,68.0,71.2
scale_50pct_ratio_70pct,50,70,best,10,10.1,59.7,61.5
scale_50pct_ratio_70pct,50,70,best,8,11.0,55.2,56.2
scale_50pct_ratio_70pct,50,70,best,6,12.1,50.4,51.1
scale_50pct_ratio_70pct,50,70,best,4,13.1,45.6,46.1
scale_50pct_ratio_70pct,50,70,best,2,13.9,41.4,41.7
scale_50pct_ratio_70pct,50,70,best,0,14.6,38.5,38.8
scale_50pct_ratio_70pct,50,70,last,50,99.0,0.1,99.5
scale_50pct_ratio_70pct,50,70,last,45,94.5,0.3,96.7
scale_50pct_ratio_70pct,50,70,last,40,82.1,1.3,88.6
scale_50pct_ratio_70pct,50,70,last,30,46.0,6.4,55.8
scale_50pct_ratio_70pct,50,70,last,25,34.2,10.3,41.3
scale_50pct_ratio_70pct,50,70,last,20,26.8,14.2,31.2
scale_50pct_ratio_70pct,50,70,last,15,22.4,17.7,25.0
scale_50pct_ratio_70pct,50,70,last,10,20.6,18.6,21.1
scale_50pct_ratio_70pct,50,70,last,8,19.9,18.6,19.8
scale_50pct_ratio_70pct,50,70,last,6,19.4,18.4,18.9
scale_50pct_ratio_70pct,50,70,last,4,18.4,17.6,17.7
scale_50pct_ratio_70pct,50,70,last,2,16.8,16.2,16.5
scale_50pct_ratio_70pct,50,70,last,0,14.1,13.9,14.1
scale_50pct_ratio_80pct,50,80,best,50,16.0,36.2,35.9
scale_50pct_ratio_80pct,50,80,best,45,16.0,36.2,35.9
scale_50pct_ratio_80pct,50,80,best,40,16.0,36.2,35.9
scale_50pct_ratio_80pct,50,80,best,30,16.0,36.1,35.9
scale_50pct_ratio_80pct,50,80,best,25,16.0,36.1,35.9
scale_50pct_ratio_80pct,50,80,best,20,16.0,36.0,35.9
scale_50pct_ratio_80pct,50,80,best,15,15.9,36.0,35.9
scale_50pct_ratio_80pct,50,80,best,10,15.9,35.9,35.7
scale_50pct_ratio_80pct,50,80,best,8,15.7,35.8,35.6
scale_50pct_ratio_80pct,50,80,best,6,15.7,35.5,35.4
scale_50pct_ratio_80pct,50,80,best,4,15.6,35.2,35.1
scale_50pct_ratio_80pct,50,80,best,2,15.5,34.7,34.6
scale_50pct_ratio_80pct,50,80,best,0,15.3,34.0,33.8
scale_50pct_ratio_80pct,50,80,last,50,91.8,2.3,92.0
scale_50pct_ratio_80pct,50,80,last,45,81.0,5.7,82.2
scale_50pct_ratio_80pct,50,80,last,40,65.9,10.4,68.0
scale_50pct_ratio_80pct,50,80,last,30,37.3,19.6,41.1
scale_50pct_ratio_80pct,50,80,last,25,28.4,22.3,33.4
scale_50pct_ratio_80pct,50,80,last,20,23.4,23.4,28.6
scale_50pct_ratio_80pct,50,80,last,15,20.8,23.7,25.7
scale_50pct_ratio_80pct,50,80,last,10,19.8,22.9,23.5
scale_50pct_ratio_80pct,50,80,last,8,19.5,22.3,22.9
scale_50pct_ratio_80pct,50,80,last,6,19.5,21.4,21.6
scale_50pct_ratio_80pct,50,80,last,4,19.6,20.0,20.5
scale_50pct_ratio_80pct,50,80,last,2,19.6,18.7,18.7
scale_50pct_ratio_80pct,50,80,last,0,19.1,17.3,17.5
scale_50pct_ratio_90pct,50,90,best,50,19.8,5.6,5.5
scale_50pct_ratio_90pct,50,90,best,45,19.8,6.0,6.0
scale_50pct_ratio_90pct,50,90,best,40,19.6,6.5,6.5
scale_50pct_ratio_90pct,50,90,best,30,19.2,6.2,6.1
scale_50pct_ratio_90pct,50,90,best,25,18.8,6.2,6.4
scale_50pct_ratio_90pct,50,90,best,20,18.2,6.1,6.1
scale_50pct_ratio_90pct,50,90,best,15,17.7,6.3,6.1
scale_50pct_ratio_90pct,50,90,best,10,18.2,7.8,7.9
scale_50pct_ratio_90pct,50,90,best,8,18.1,8.7,8.7
scale_50pct_ratio_90pct,50,90,best,6,18.0,9.4,9.1
scale_50pct_ratio_90pct,50,90,best,4,17.8,10.0,9.5
scale_50pct_ratio_90pct,50,90,best,2,17.3,10.6,10.9
scale_50pct_ratio_90pct,50,90,best,0,16.3,11.0,11.4
scale_50pct_ratio_90pct,50,90,last,50,99.3,0.1,99.2
scale_50pct_ratio_90pct,50,90,last,45,96.0,0.4,93.9
scale_50pct_ratio_90pct,50,90,last,40,86.0,1.2,78.7
scale_50pct_ratio_90pct,50,90,last,30,52.1,3.6,30.8
scale_50pct_ratio_90pct,50,90,last,25,39.3,4.1,16.9
scale_50pct_ratio_90pct,50,90,last,20,31.0,4.6,10.1
scale_50pct_ratio_90pct,50,90,last,15,26.2,5.3,7.2
scale_50pct_ratio_90pct,50,90,last,10,23.8,6.6,7.6
scale_50pct_ratio_90pct,50,90,last,8,23.5,7.4,7.8
scale_50pct_ratio_90pct,50,90,last,6,23.1,8.0,8.7
scale_50pct_ratio_90pct,50,90,last,4,22.7,8.8,9.1
scale_50pct_ratio_90pct,50,90,last,2,22.6,9.3,9.3
scale_50pct_ratio_90pct,50,90,last,0,22.5,9.5,9.5
scale_100pct_ratio_10pct,100,10,best,50,5.4,90.0,97.3
scale_100pct_ratio_10pct,100,10,best,45,5.4,90.0,97.2
scale_100pct_ratio_10pct,100,10,best,40,5.3,90.1,97.1
