model,scale_pct,noise_ratio_pct,epoch,checkpoint_name,checkpoint_kind,changed_positions,train_subset_utterances,acc_em,acc_sc,acc_gen,loss_em,loss_sc,loss_gen,ntokens_em,ntokens_sc,ntokens_gen,nsentences_em,nsentences_sc,nsentences_gen
hubert_base_ls960,10,10,24,checkpoint24.pt,epoch,17186,12027,99.971,0.029,86.395,0.008,12.077,1.317,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,25,checkpoint25.pt,epoch,17186,12027,99.977,0.023,86.359,0.007,12.142,1.322,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,26,checkpoint26.pt,epoch,17186,12027,99.988,0.012,86.36,0.007,12.164,1.325,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,27,checkpoint27.pt,epoch,17186,12027,99.994,0.006,86.346,0.007,12.207,1.327,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,28,checkpoint28.pt,epoch,17186,12027,99.994,0.006,86.353,0.007,12.219,1.329,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,29,checkpoint_last.pt,last,17186,12027,99.994,0.006,86.352,0.007,12.234,1.33,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,1,checkpoint1.pt,epoch,34291,12027,9.39,10.781,14.886,3.618,3.46,3.311,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,2,checkpoint2.pt,epoch,34291,12027,12.207,15.893,22.656,3.484,3.26,3.097,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,3,checkpoint3.pt,epoch,34291,12027,6.669,73.32,78.18,3.629,1.202,0.995,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,4,checkpoint4.pt,epoch,34291,12027,4.161,86.303,88.384,3.727,0.821,0.693,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,5,checkpoint5.pt,epoch,34291,12027,4.995,86.244,89.139,3.92,0.754,0.613,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,6,checkpoint6.pt,epoch,34291,12027,7.789,84.177,89.2,3.71,0.822,0.612,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,7,checkpoint7.pt,epoch,34291,12027,13.336,77.983,88.68,3.344,1.03,0.632,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,8,checkpoint8.pt,epoch,34291,12027,24.231,66.163,87.408,2.798,1.544,0.691,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,9,checkpoint9.pt,epoch,34291,12027,44.994,45.228,85.135,1.929,2.628,0.817,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,10,checkpoint10.pt,epoch,34291,12027,71.197,20.965,82.621,1.109,4.257,0.976,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,11,checkpoint11.pt,epoch,34291,12027,85.431,9.737,81.802,0.614,6.037,1.148,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,12,checkpoint12.pt,epoch,34291,12027,95.844,2.511,80.22,0.242,8.207,1.367,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,13,checkpoint13.pt,epoch,34291,12027,98.921,0.662,80.638,0.104,9.57,1.449,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,14,checkpoint14.pt,epoch,34291,12027,99.758,0.131,80.557,0.044,10.654,1.536,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,15,checkpoint15.pt,epoch,34291,12027,99.86,0.093,80.808,0.028,11.175,1.578,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,16,checkpoint16.pt,epoch,34291,12027,99.913,0.058,81.319,0.021,11.371,1.58,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,17,checkpoint17.pt,epoch,34291,12027,99.924,0.058,81.271,0.016,11.72,1.612,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,18,checkpoint18.pt,epoch,34291,12027,99.962,0.029,81.576,0.013,11.848,1.62,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,19,checkpoint19.pt,epoch,34291,12027,99.95,0.041,81.277,0.012,12.171,1.651,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,20,checkpoint20.pt,epoch,34291,12027,99.965,0.023,81.58,0.01,12.173,1.65,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,21,checkpoint21.pt,epoch,34291,12027,99.959,0.029,81.489,0.01,12.362,1.671,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,22,checkpoint22.pt,epoch,34291,12027,99.968,0.023,81.558,0.009,12.424,1.676,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,23,checkpoint23.pt,epoch,34291,12027,99.971,0.026,81.493,0.008,12.508,1.687,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,24,checkpoint24.pt,epoch,34291,12027,99.983,0.015,81.551,0.008,12.573,1.692,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,25,checkpoint25.pt,epoch,34291,12027,99.971,0.026,81.576,0.008,12.615,1.695,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,26,checkpoint26.pt,epoch,34291,12027,99.991,0.006,81.527,0.007,12.687,1.704,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,27,checkpoint27.pt,epoch,34291,12027,99.983,0.015,81.553,0.007,12.696,1.703,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,28,checkpoint28.pt,epoch,34291,12027,99.988,0.009,81.57,0.007,12.712,1.706,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,29,checkpoint_last.pt,last,34291,12027,99.983,0.015,81.578,0.007,12.732,1.707,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,1,checkpoint1.pt,epoch,51307,12027,9.135,10.248,14.809,3.618,3.468,3.313,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,2,checkpoint2.pt,epoch,51307,12027,12.271,15.183,22.349,3.472,3.271,3.103,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,3,checkpoint3.pt,epoch,51307,12027,7.262,70.862,76.42,3.084,1.431,1.19,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
